1000 0.384 0.289
2000 1.380 0.908
3000 3.041 1.985
4000 5.248 3.462
5000 8.134 5.334
6000 11.678 7.549
7000 15.841 10.411
8000 21.185 13.670
9000 26.294 16.999
10000 32.374 20.954
