0 17.83414427 0.96714291 40.03386893 17.83414427 0.96714291 40.03386893 17.83414427 0.96714291 40.03386893 17.83414427 0.96714291 40.03386893
0 17.83414736 0.96714424 30.68071128 17.83414736 0.96714424 30.68071128 17.83414736 0.96714424 30.68071128 17.83414736 0.96714424 30.68071128
1 17.83419857 0.96714338 36.36229653 17.83419857 0.96714338 36.36229653 17.83419857 0.96714338 36.36229652 17.83419857 0.96714338 36.36229652
2 17.83424635 0.96714341 36.54330247 17.83424635 0.96714341 36.54330246 17.83424635 0.96714341 36.54330246 17.83424635 0.96714341 36.54330246
3 17.83433548 0.96714459 30.13386860 17.83433549 0.96714459 30.13386859 17.83433549 0.96714459 30.13386859 17.83433549 0.96714459 30.13386859
4 17.83444712 0.96714335 39.48858577 17.83444712 0.96714335 39.48858576 17.83444712 0.96714335 39.48858576 17.83444712 0.96714335 39.48858575
5 17.83455436 0.96714489 30.23168499 17.83455436 0.96714489 30.23168498 17.83455436 0.96714489 30.23168498 17.83455436 0.96714489 30.23168497
6 17.83475275 0.96714440 34.84961128 17.83475275 0.96714440 34.84961127 17.83475275 0.96714440 34.84961126 17.83475275 0.96714440 34.84961126
7 17.83489969 0.96714449 35.88366763 17.83489968 0.96714449 35.88366763 17.83489968 0.96714449 35.88366762 17.83489968 0.96714449 35.88366761
8 17.83514280 0.96714622 28.33574170 17.83514280 0.96714622 28.33574169 17.83514281 0.96714622 28.33574169 17.83514281 0.96714622 28.33574168
9 17.83539814 0.96714505 37.71886461 17.83539814 0.96714505 37.71886460 17.83539814 0.96714505 37.71886459 17.83539814 0.96714505 37.71886458
10 17.83563462 0.96714687 28.87667408 17.83563462 0.96714687 28.87667407 17.83563462 0.96714687 28.87667406 17.83563462 0.96714687 28.87667405
11 17.83604941 0.96714693 31.96555160 17.83604941 0.96714693 31.96555158 17.83604941 0.96714693 31.96555157 17.83604941 0.96714693 31.96555156
12 17.83634103 0.96714704 34.13864093 17.83634103 0.96714704 34.13864092 17.83634103 0.96714704 34.13864091 17.83634103 0.96714704 34.13864089
13 17.83681487 0.96714965 25.35160314 17.83681487 0.96714965 25.35160313 17.83681488 0.96714965 25.35160311 17.83681488 0.96714965 25.35160310
14 17.83731888 0.96714856 34.56562960 17.83731888 0.96714856 34.56562958 17.83731888 0.96714856 34.56562957 17.83731888 0.96714856 34.56562955
15 17.83775799 0.96715086 26.43004193 17.83775799 0.96715086 26.43004191 17.83775799 0.96715086 26.43004190 17.83775799 0.96715086 26.43004188
16 17.83858243 0.96715188 27.64682073 17.83858243 0.96715188 27.64682071 17.83858243 0.96715188 27.64682069 17.83858243 0.96715188 27.64682067
17 17.83914214 0.96715208 31.01076420 17.83914214 0.96715208 31.01076418 17.83914214 0.96715208 31.01076416 17.83914214 0.96715208 31.01076414
18 17.84006424 0.96715635 21.03447464 17.84006425 0.96715635 21.03447462 17.84006425 0.96715635 21.03447460 17.84006425 0.96715635 21.03447458
19 17.84113489 0.96715555 29.74357256 17.84113489 0.96715555 29.74357254 17.84113489 0.96715555 29.74357251 17.84113489 0.96715555 29.74357249
20 17.84198978 0.96715882 22.61279263 17.84198978 0.96715882 22.61279261 17.84198978 0.96715882 22.61279258 17.84198978 0.96715882 22.61279256
21 17.84389387 0.96716227 21.57094336 17.84389387 0.96716227 21.57094333 17.84389387 0.96716227 21.57094330 17.84389387 0.96716227 21.57094327
22 17.84514008 0.96716287 26.03051935 17.84514008 0.96716287 26.03051932 17.84514007 0.96716287 26.03051929 17.84514007 0.96716287 26.03051926
23 17.84732249 0.96717158 14.96340739 17.84732249 0.96717158 14.96340736 17.84732249 0.96717158 14.96340732 17.84732250 0.96717158 14.96340729
24 17.85045360 0.96717248 22.61416840 17.85045360 0.96717248 22.61416837 17.85045360 0.96717248 22.61416833 17.85045360 0.96717248 22.61416830
25 17.85260988 0.96717865 16.87595993 17.85260987 0.96717865 16.87595990 17.85260987 0.96717865 16.87595986 17.85260987 0.96717865 16.87595983
26 17.86022939 0.96719431 12.82021857 17.86022939 0.96719431 12.82021853 17.86022939 0.96719431 12.82021848 17.86022939 0.96719431 12.82021844
27 17.86493525 0.96719783 18.01377447 17.86493524 0.96719783 18.01377442 17.86493524 0.96719783 18.01377437 17.86493523 0.96719783 18.01377433
28 17.87512172 0.96723410 6.14505840 17.87512173 0.96723410 6.14505835 17.87512174 0.96723410 6.14505830 17.87512175 0.96723410 6.14505826
29 17.91568097 0.96728543 10.92243747 17.91568095 0.96728543 10.92243740 17.91568094 0.96728543 10.92243733 17.91568092 0.96728543 10.92243726
30 17.93337218 0.96731980 7.98335565 17.93337216 0.96731980 7.98335560 17.93337214 0.96731980 7.98335555 17.93337212 0.96731980 7.98335550
31 17.89438904 0.96726448 6.79445858 17.89438901 0.96726448 6.79445862 17.89438898 0.96726448 6.79445867 17.89438894 0.96726448 6.79445871
32 17.86708438 0.96721228 9.83427740 17.86708434 0.96721228 9.83427748 17.86708430 0.96721228 9.83427756 17.86708427 0.96721228 9.83427765
33 17.80370704 0.96713157 4.71665299 17.80370696 0.96713157 4.71665303 17.80370687 0.96713157 4.71665308 17.80370679 0.96713157 4.71665313
34 17.78887646 0.96707894 16.82507180 17.78887640 0.96707894 16.82507185 17.78887635 0.96707894 16.82507189 17.78887629 0.96707894 16.82507194
35 17.78362474 0.96707404 12.56518379 17.78362468 0.96707404 12.56518383 17.78362461 0.96707404 12.56518388 17.78362455 0.96707404 12.56518392
