# parameter meaning
# SemiMajorAxis
# Eccentricity
# Inclination
# LongitudeOfPericenter
# AscendingNode
# MeanLongitude
# SemiMajorAxis change
# Eccentricity change
# Inclination change
# LongitudeOfPericenter change
# AscendingNode change
# MeanLongitude change
# N_r
# Epoch
# Mass / M_Sun
#
 0.38709893 0.20563069  7.00487  77.45645  48.33167 252.25084      66   2527 -23.15   573.57   -446.30  261628.29 415 2451545.0   0.166003891	# Mercury
 0.72333199 0.00677323  3.39471 131.53298  76.68069 181.97973      92  -4938  -2.86  -108.80   -996.89  712136.06 162 2451545.0	  2.447577057	# Venus
 1.00000011 0.01671022  0.00005 102.94719 348.73936 100.46435      -5  -3804 -46.94  1198.28 -18228.25 1293740.63  99 2451545.0   3.040098335	# Earth
 1.52366231 0.09341233  1.85061 336.04084  49.57854 355.45332   -7221  11902 -25.47  1560.78  -1020.19  217103.78  53 2451545.0   0.322682009	# Mars + ...
 5.20336301 0.04839266  1.30530  14.75385 100.55615  34.40438   60737 -12880  -4.15   839.93   1217.17  557078.35   8 2451545.0 954.694863532	# Jupiter + ...
 9.53707032 0.05415060  2.48446  92.43194 113.71504  49.94432 -301530 -36762   6.11 -1948.89  -1591.05  513052.95   3 2451545.0 285.856615571	# Saturn + ...
19.19126393 0.04716771  0.76986 170.96424  74.22988 313.23218  152025 -19150  -2.09  1312.56   1681.40  246547.79   1 2451545.0  43.658285313	# Uranus + ...
30.06896348 0.00858587  1.76917  44.97135 131.72169 304.88003 -125196   2514  -3.64  -844.43   -151.25  786449.21   0 2451545.0  51.506201265	# Neptune + ...
39.48168677 0.24880766 17.14175 224.06676 110.30347 238.92881  -76912   6465  11.07  -132.25    -37.33  522747.90   0 2451545.0   0.007138871	# Pluto + Charon
