0 5.20336335 0.04839272
0 5.20473961 0.04844280
1 5.20579679 0.04834366
2 5.20704896 0.04847260
3 5.20783724 0.04840301
4 5.20861006 0.04842532
5 5.20925551 0.04845246
6 5.20968583 0.04841095
7 5.21016496 0.04846017
8 5.21046156 0.04843461
9 5.21075301 0.04844230
10 5.21100431 0.04845342
11 5.21117620 0.04843658
12 5.21137439 0.04845689
13 5.21150145 0.04844622
14 5.21162902 0.04844922
15 5.21174282 0.04845457
16 5.21182179 0.04844668
17 5.21191458 0.04845616
18 5.21197511 0.04845124
19 5.21203579 0.04845245
20 5.21209072 0.04845521
21 5.21212844 0.04845136
22 5.21217252 0.04845584
23 5.21220102 0.04845362
24 5.21222860 0.04845404
25 5.21225307 0.04845538
26 5.21226890 0.04845372
27 5.21228616 0.04845546
28 5.21229629 0.04845473
29 5.21230433 0.04845477
30 5.21230962 0.04845514
31 5.21231089 0.04845499
32 5.21231474 0.04845540
33 5.21232054 0.04845492
34 5.21233064 0.04845512
35 5.21234492 0.04845585
36 5.21235938 0.04845435
37 5.21238378 0.04845682
38 5.21240629 0.04845515
39 5.21243673 0.04845550
40 5.21247530 0.04845770
41 5.21251074 0.04845392
42 5.21256730 0.04845959
43 5.21261785 0.04845606
44 5.21268349 0.04845649
45 5.21276629 0.04846151
46 5.21284104 0.04845342
47 5.21295999 0.04846523
48 5.21306727 0.04845812
49 5.21320597 0.04845846
50 5.21338509 0.04846986
51 5.21354833 0.04845195
52 5.21381372 0.04847803
53 5.21406082 0.04846253
54 5.21438608 0.04846202
55 5.21482436 0.04849112
56 5.21523471 0.04844557
57 5.21592332 0.04851246
58 5.21658581 0.04847372
59 5.21745301 0.04846749
60 5.21861617 0.04855016
61 5.21962248 0.04843640
62 5.22109592 0.04857380
63 5.22227585 0.04851842
64 5.22340942 0.04849366
65 5.22457224 0.04858815
66 5.22529926 0.04850455
67 5.22610960 0.04857463
68 5.22665710 0.04855575
69 5.22710470 0.04854086
70 5.22754762 0.04857931
71 5.22781733 0.04854828
72 5.22811897 0.04857288
73 5.22833282 0.04856753
74 5.22850849 0.04856006
75 5.22869205 0.04857678
76 5.22880675 0.04856369
77 5.22893735 0.04857359
78 5.22903466 0.04857215
79 5.22911390 0.04856801
80 5.22919984 0.04857618
81 5.22925395 0.04857011
82 5.22931511 0.04857431
83 5.22936206 0.04857414
84 5.22939897 0.04857184
85 5.22943941 0.04857582
86 5.22946438 0.04857311
87 5.22949132 0.04857473
88 5.22951182 0.04857490
89 5.22952649 0.04857383
90 5.22954152 0.04857536
91 5.22954964 0.04857452
92 5.22955629 0.04857482
93 5.22955939 0.04857495
94 5.22956097 0.04857489
95 5.22956688 0.04857547
96 5.22957396 0.04857473
97 5.22958649 0.04857539
98 5.22960196 0.04857569
99 5.22961860 0.04857431
