#N time
500 0.068
1000 0.198
2000 0.605
3000 1.257
4000 2.210
5000 3.374
6000 4.913
7000 6.517
8000 8.490
9000 10.731
10000 13.286
13000 22.292
16000 33.587
24000 76.050
32000 134.549
48000 303.408
64000 551.215
